Latitude,Longitude
47.57883,-122.411157
47.579567,-122.38632
47.581034,-122.384074
47.564283,-122.377043
47.561286,-122.384684
47.55983,-122.384892
47.560942,-122.386586
47.54463,-122.387521
47.537471,-122.283071
47.545883,-122.285101
47.546162,-122.325625
47.566563,-122.32964
47.569072,-122.288336
47.576967,-122.296749
47.579087,-122.299771
47.581227,-122.335305
47.5842,-122.333936
47.581038,-122.335876
47.602082,-122.285387
47.599433,-122.301982
47.606484,-122.311024
47.60719,-122.309915
47.609367,-122.316572
47.608737,-122.321659
47.608157,-122.321636
47.609578,-122.324192
47.609578,-122.324192
47.609367,-122.316572
47.613838,-122.321193
47.614008,-122.328112
47.614225,-122.320981
47.618869,-122.321037
47.620423,-122.313089
47.617997,-122.30353
47.62228,-122.321106
47.619378,-122.324963
47.634097,-122.280829
47.641026,-122.325669
47.601426,-122.330336
47.599056,-122.332658
47.601596,-122.333998
47.604277,-122.330674
47.604747,-122.329731
47.604599,-122.330697
47.605341,-122.330419
47.603837,-122.335584
47.605286,-122.33437
47.604867,-122.339712
47.606415,-122.336498
47.607343,-122.334254
47.607302,-122.33589
47.606964,-122.338566
47.607779,-122.33791
47.608378,-122.338441
47.609052,-122.339908
47.609512,-122.337903
47.610047,-122.342591
47.610325,-122.337525
47.610452,-122.335127
47.610159,-122.33495
47.610154,-122.333077
47.610587,-122.333517
47.612235,-122.333778
47.612674,-122.335617
47.611457,-122.337414
47.61255,-122.342777
47.61383,-122.336874
47.614325,-122.335865
47.615639,-122.336914
47.61524,-122.338136
47.617267,-122.337974
47.617158,-122.329799
47.617509,-122.345097
47.614359,-122.352588
47.621052,-122.350799
47.621494,-122.338158
47.622767,-122.33668
47.624489,-122.338578
47.629932,-122.340052
47.624725,-122.347263
47.622934,-122.356908
47.623776,-122.357803
47.62982,-122.372098
47.637724,-122.35628
47.638249,-122.357156
47.639717,-122.399802
47.654891,-122.305387
47.655619,-122.308594
47.658219,-122.313363
47.662849,-122.313291
47.661662,-122.29936
47.662475,-122.296762
47.662687,-122.299743
47.664405,-122.29897
47.66221,-122.283919
47.662275,-122.280932
47.662942,-122.282944
47.681397,-122.290638
47.682534,-122.289408
47.675689,-122.316392
47.682071,-122.316828
47.680009,-122.325529
47.66152,-122.333087
47.661753,-122.335866
47.649834,-122.350135
47.653794,-122.347498
47.660595,-122.36859
47.666939,-122.375908
47.670638,-122.387273
47.668875,-122.385
47.668564,-122.37439
47.69018,-122.376189
47.691979,-122.358696
47.689479,-122.344838
47.701661,-122.36397
